iter	Passed	Remaining
406	5724	15371
407	5735	15352
408	5746	15327
409	5761	15316
410	5771	15291
411	5792	15296
412	5802	15272
413	5823	15276
414	5834	15253
415	5844	15229
416	5854	15205
417	5865	15181
418	5875	15158
419	5886	15136
420	5896	15112
421	5918	15118
422	5928	15095
423	5939	15071
424	5949	15047
425	5959	15024
426	5969	15000
427	5979	14977
428	6001	14982
429	6012	14962
430	6028	14952
431	6044	14943
432	6060	14934
433	6076	14925
434	6086	14902
435	6107	14904
436	6123	14895
437	6133	14871
438	6154	14874
439	6165	14852
440	6175	14828
441	6201	14844
442	6217	14835
443	6233	14825
444	6243	14802
445	6256	14784
446	6281	14796
447	6291	14773
448	6312	14777
449	6323	14754
450	6344	14757
451	6355	14734
452	6365	14712
453	6391	14725
454	6401	14703
455	6423	14706
456	6433	14683
457	6458	14693
458	6468	14670
459	6478	14647
460	6488	14624
461	6502	14610
462	6513	14587
463	6523	14565
464	6550	14579
465	6566	14570
466	6582	14559
467	6598	14549
468	6613	14539
469	6628	14527
470	6644	14517
471	6655	14494
472	6665	14472
473	6675	14449
474	6692	14441
475	6702	14419
476	6713	14397
477	6739	14408
478	6749	14386
479	6771	14388
480	6781	14366
481	6791	14344
482	6802	14322
483	6812	14300
484	6833	14300
485	6843	14278
486	6854	14257
487	6880	14267
488	6896	14257
489	6906	14235
490	6916	14213
491	6927	14193
492	6938	14172
493	6948	14150
494	6958	14128
495	6969	14106
496	6991	14109
497	7001	14087
498	7012	14066
499	7038	14076
500	7048	14054
501	7058	14033
502	7069	14011
503	7084	13999
504	7094	13977
505	7104	13956
506	7114	13934
507	7131	13926
508	7147	13916
509	7158	13895
510	7179	13895
511	7189	13874
512	7200	13852
513	7210	13831
514	7222	13813
515	7232	13792
516	7243	13772
517	7258	13759
518	7269	13740
519	7288	13736
520	7299	13715
521	7309	13694
522	7336	13704
523	7346	13683
524	7356	13662
525	7383	13671
526	7393	13650
527	7414	13649
528	7424	13628
529	7435	13607
530	7445	13587
531	7462	13577
532	7472	13557
533	7494	13556
534	7504	13535
535	7514	13515
536	7524	13494
537	7535	13473
538	7545	13453
539	7573	13464
540	7589	13453
541	7599	13432
542	7610	13412
543	7620	13392
544	7637	13382
545	7647	13361
546	7657	13341
547	7668	13321
548	7684	13311
549	7694	13291
550	7716	13290
551	7732	13279
552	7748	13268
553	7759	13249
554	7770	13230
555	7781	13211
556	7791	13191
557	7802	13171
558	7812	13151
559	7823	13131
560	7834	13113
561	7845	13094
562	7855	13074
563	7866	13055
564	7890	13058
565	7906	13047
566	7916	13027
567	7927	13007
568	7937	12987
