iter	MAE
0	269.7993102
1	252.8097175
2	239.7237166
3	225.2655592
4	210.6253455
5	200.0041907
6	191.6667516
7	182.9057801
8	175.7499174
9	170.5998585
10	165.3493867
11	160.5514927
12	156.2546555
13	153.0964752
14	149.2177736
15	146.8681926
16	144.0859272
17	140.853818
18	139.0119395
19	135.3019995
20	132.7393916
21	130.6691168
22	128.4306186
23	126.3230512
24	124.545802
25	122.177974
26	120.4081113
27	119.4714383
28	118.2890091
29	117.5835113
30	116.5990246
31	116.0058483
32	115.5409726
33	114.6962255
34	114.0069
35	113.4675865
36	112.3817635
37	111.6596755
38	110.764326
39	110.5603906
40	110.0871681
41	109.3259591
42	108.7452091
43	108.4369719
44	107.7008949
45	107.3789411
46	107.2337229
47	106.6908977
48	106.4431295
49	106.0006481
50	105.5873886
51	105.4218967
52	104.8878198
53	104.6700653
54	104.5512211
55	103.9464183
56	103.7389144
57	103.6307457
58	103.4099583
59	103.167072
60	102.9328588
61	102.7954654
62	102.5040219
63	102.3523296
64	102.2822281
65	102.1043389
66	101.9753232
67	101.9098753
68	101.8730763
69	101.4919741
70	100.969224
71	100.7942677
72	100.7305559
73	100.5644114
74	100.082054
75	99.8656054
76	99.59108012
77	99.304636
78	99.15044325
79	98.93783429
80	98.76207328
81	98.4768828
82	98.40159208
83	98.27770996
84	97.92617264
85	96.94099671
86	96.81999405
87	96.45671843
88	96.0399309
89	95.92820908
90	95.45416754
91	95.30987383
92	94.94310494
93	94.64228176
94	94.51783059
95	94.17317445
96	93.77692286
97	93.18205635
98	92.57770503
99	92.50502072
100	92.42836556
101	92.20986474
102	92.11934035
103	92.00364427
104	91.54131187
105	91.45350956
106	91.39743845
107	91.2222561
108	90.99764472
109	90.90868903
110	90.81791385
111	90.47268503
112	90.39280451
113	90.0614619
114	90.01458664
115	89.93531116
116	89.67953779
117	89.35044188
118	89.10152176
119	88.90084797
120	88.81366594
121	88.76590635
122	88.68613983
123	88.64217084
124	88.41503178
125	88.2311607
126	87.8813217
127	87.77106298
128	87.59850711
129	87.44764066
130	87.15653541
131	87.06978986
132	87.03085408
133	86.62302328
134	86.58415951
135	86.51603309
136	86.33938053
137	86.19898232
138	86.07083244
139	85.74672622
140	85.50082627
141	85.41274328
142	85.32738766
143	85.28721072
144	85.24834748
145	84.99351501
146	84.98715684
147	84.93344346
148	84.90159966
149	84.59902972
150	84.45705124
151	84.45339561
152	84.30325149
153	84.27380018
154	84.20298784
155	84.14180723
156	84.09656326
157	84.03808173
158	83.9294537
159	83.84960833
160	83.83321215
161	83.67572342
162	83.51426378
163	83.36684074
164	83.20097938
165	83.09162138
166	83.05639558
167	82.99229254
168	82.93980492
169	82.89631822
170	82.84074959
171	82.79091051
172	82.58352917
173	82.26047632
174	82.11544538
175	81.8467416
176	81.76171021
177	81.5059899
178	81.43535413
179	81.39036357
180	81.07530761
181	80.83603125
182	80.62917765
183	80.38074032
184	80.36512782
185	80.34097131
186	80.29003237
187	80.25878329
188	80.25223697
189	80.23822744
190	79.97189583
191	79.78379393
192	79.72960732
193	79.55960138
194	79.40687918
195	79.39499844
196	79.26489675
197	78.9754747
198	78.81807602
199	78.75528995
200	78.7448388
201	78.63725481
202	78.36938266
203	78.30773288
204	78.25815503
205	78.13437253
206	78.09357921
207	77.98018231
208	77.94384492
209	77.92922221
210	77.89696648
211	77.58736048
212	77.57934117
213	77.45009971
214	77.44179897
215	77.42522546
216	77.33352067
217	77.25954535
218	77.24508242
219	77.20490717
220	77.1800055
221	76.93189381
222	76.83455611
223	76.77187913
224	76.63810821
225	76.53008334
226	76.35748322
227	76.34763441
228	76.34271784
229	76.33324576
230	76.32384842
231	76.22293499
232	76.18303029
233	75.98299007
234	75.97959315
235	75.95386152
236	75.83815032
237	75.77803684
238	75.6202832
239	75.5432723
240	75.3557402
241	75.31461938
242	75.19254279
243	75.14198979
244	75.11765807
245	75.09423207
246	75.08927693
247	75.06898598
248	75.05075377
249	75.0001952
250	74.98202148
251	74.94869253
252	74.94188383
253	74.82621813
254	74.7691965
255	74.75424193
256	74.67668364
257	74.57418298
258	74.55404306
259	74.48846349
260	74.46917237
261	74.43926483
262	74.37660972
